iter	Passed	Remaining
740	4416	1543
741	4422	1537
742	4428	1531
743	4434	1525
744	4440	1519
745	4446	1514
746	4452	1508
747	4459	1502
748	4466	1496
749	4471	1490
750	4478	1484
751	4483	1478
752	4490	1472
753	4497	1467
754	4502	1461
755	4508	1455
756	4514	1449
757	4521	1443
758	4527	1437
759	4533	1431
760	4540	1425
761	4547	1420
762	4554	1414
763	4560	1408
764	4566	1402
765	4571	1396
766	4577	1390
767	4584	1384
768	4589	1378
769	4596	1373
770	4602	1366
771	4607	1360
772	4614	1355
773	4620	1349
774	4626	1343
775	4633	1337
776	4640	1331
777	4646	1325
778	4653	1320
779	4659	1314
780	4665	1308
781	4671	1302
782	4677	1296
783	4683	1290
784	4689	1284
785	4695	1278
786	4701	1272
787	4707	1266
788	4712	1260
789	4720	1254
790	4726	1248
791	4731	1242
792	4737	1236
793	4742	1230
794	4747	1224
795	4754	1218
796	4760	1212
797	4766	1206
798	4773	1200
799	4779	1194
800	4784	1188
801	4788	1182
802	4795	1176
803	4802	1170
804	4808	1164
805	4814	1158
806	4818	1152
807	4825	1146
808	4832	1140
809	4837	1134
810	4844	1128
811	4851	1123
812	4857	1117
813	4862	1111
814	4870	1105
815	4876	1099
816	4883	1093
817	4888	1087
818	4894	1081
819	4899	1075
820	4905	1069
821	4911	1063
822	4918	1057
823	4924	1051
824	4931	1046
825	4937	1040
826	4943	1034
827	4949	1028
828	4954	1021
829	4960	1016
830	4966	1010
831	4972	1004
832	4978	998
833	4982	991
834	4988	985
835	4994	979
836	5000	973
837	5006	967
838	5013	962
839	5020	956
840	5026	950
841	5031	944
842	5036	937
843	5042	932
844	5048	926
845	5055	920
846	5061	914
847	5068	908
848	5072	902
849	5079	896
850	5083	890
851	5088	883
852	5094	877
853	5100	872
854	5105	865
855	5111	859
856	5117	853
857	5122	847
858	5129	841
859	5134	835
860	5139	829
861	5145	823
862	5150	817
863	5156	811
864	5161	805
865	5167	799
866	5173	793
867	5179	787
868	5185	781
869	5192	775
870	5198	769
871	5203	763
872	5208	757
873	5214	751
874	5221	745
875	5227	740
876	5233	733
877	5238	727
878	5244	721
879	5250	716
880	5257	710
881	5263	704
882	5269	698
883	5274	692
884	5279	686
885	5285	680
886	5291	674
887	5297	668
888	5302	662
889	5307	655
890	5313	650
891	5319	644
892	5326	638
893	5332	632
894	5338	626
895	5345	620
896	5351	614
897	5356	608
898	5361	602
899	5368	596
900	5374	590
901	5381	584
902	5386	578
903	5392	572
904	5398	566
905	5404	560
906	5411	554
907	5416	548
908	5424	543
909	5429	537
910	5435	531
911	5441	525
912	5447	519
913	5452	513
914	5458	507
915	5462	500
916	5469	495
917	5475	489
918	5481	483
919	5487	477
920	5492	471
921	5498	465
922	5504	459
923	5509	453
924	5515	447
925	5521	441
926	5527	435
927	5532	429
928	5537	423
929	5544	417
930	5551	411
931	5557	405
932	5564	399
933	5570	393
934	5576	387
935	5581	381
936	5587	375
937	5593	369
938	5599	363
939	5606	357
940	5612	351
941	5619	345
942	5624	340
943	5631	334
944	5637	328
945	5643	322
946	5649	316
947	5655	310
948	5660	304
949	5667	298
950	5671	292
951	5677	286
952	5682	280
953	5688	274
954	5693	268
955	5699	262
956	5705	256
957	5711	250
958	5718	244
959	5724	238
960	5730	232
961	5736	226
962	5742	220
963	5748	214
964	5754	208
965	5760	202
966	5766	196
967	5772	190
968	5778	184
969	5784	178
970	5790	172
971	5795	166
972	5802	161
973	5810	155
974	5815	149
975	5821	143
976	5827	137
977	5833	131
978	5839	125
979	5845	119
980	5852	113
981	5858	107
982	5863	101
983	5870	95
984	5876	89
985	5880	83
986	5886	77
987	5892	71
988	5897	65
989	5904	59
990	5910	53
991	5915	47
992	5922	41
993	5927	35
994	5931	29
995	5938	23
996	5943	17
997	5947	11
998	5952	5
999	5958	0
